time,num_completed,total_wait,abandon
0,1,0,0
1,1,0,0
5,1,0,0
6,2,0,0
12,2,0,0
23,1,0,0
24,1,0,0
25,1,0,0
27,1,0,0
30,1,0,0
31,1,0,0
33,1,0,0
34,1,0,0
37,1,0,0
40,2,0,0
49,1,0,0
50,1,0,0
53,2,0,0
55,1,0,0
56,1,0,0
57,1,0,0
59,1,0,0
69,1,0,0
77,1,0,0
80,2,0,0
81,1,0,0
82,1,0,0
87,1,0,0
88,2,0,0
93,1,0,0
97,2,0,0
102,1,0,0
106,1,0,0
107,1,0,0
113,1,0,0
114,1,0,0
115,1,0,0
119,1,0,0
126,2,0,0
130,1,0,0
134,1,0,0
136,4,0,0
139,1,0,0
141,1,0,0
142,1,0,0
143,1,0,0
151,1,0,0
154,1,0,0
159,1,0,0
166,1,0,0
171,1,0,0
172,1,0,0
173,1,0,0
178,2,0,0
180,2,0,0
181,1,0,0
183,1,0,0
184,1,0,0
194,1,0,0
196,1,0,0
197,1,0,0
200,2,0,0
201,2,0,0
203,1,0,0
206,1,0,0
207,1,0,0
208,1,0,0
211,2,0,0
216,2,0,0
219,1,0,0
221,1,0,0
224,1,0,0
228,1,0,0
236,1,0,0
237,1,0,0
245,1,0,0
246,1,0,0
251,1,0,0
253,2,0,0
260,1,0,0
261,1,0,0
265,1,0,0
272,1,0,0
275,1,0,0
276,1,0,0
279,2,0,0
282,1,0,0
284,1,0,0
287,1,0,0
291,1,0,0
292,1,0,0
295,1,0,0
298,2,0,0
299,1,0,0
310,1,0,0
317,1,0,0
322,1,0,0
325,1,0,0
326,1,0,0
327,1,0,0
330,1,0,0
338,1,0,0
345,2,0,0
353,1,0,0
363,1,0,0
364,1,0,0
370,1,0,0
371,1,0,0
379,1,0,0
382,1,0,0
385,2,0,0
387,1,0,0
391,1,0,0
392,1,0,0
397,1,0,0
403,1,0,0
405,1,0,0
410,1,0,0
414,1,0,0
421,1,0,0
422,1,0,0
425,1,0,0
427,1,0,0
428,3,0,0
433,1,0,0
437,1,0,0
440,2,0,0
442,1,0,0
446,1,0,0
448,1,0,0
453,1,0,0
455,2,0,0
465,1,0,0
467,1,0,0
468,1,0,0
470,1,0,0
473,1,0,0
482,1,0,0
484,1,0,0
486,1,0,0
487,4,0,0
488,1,1,0
493,1,0,0
494,1,0,0
499,1,3,0
505,1,6,0
506,1,7,0
508,1,8,0
513,1,11,0
516,2,16,0
519,1,8,0
520,1,6,0
528,2,20,0
529,1,8,0
535,1,4,0
536,1,5,0
537,1,6,0
538,2,11,0
539,1,5,0
542,2,8,0
556,1,9,0
561,2,25,0
565,1,12,0
566,1,8,0
567,1,7,0
574,1,13,0
580,1,15,0
585,1,14,0
588,1,17,0
590,1,12,0
594,1,11,0
595,1,5,0
597,1,0,0
606,1,0,0
609,1,0,0
610,1,0,0
613,1,0,0
618,2,0,0
620,1,0,0
622,1,0,0
623,1,0,0
628,1,5,0
629,1,2,0
630,1,3,0
633,1,6,0
636,1,5,0
642,1,11,0
644,1,13,0
647,1,3,0
653,1,0,0
654,1,0,0
663,1,4,0
666,1,5,0
668,2,0,0
670,2,0,0
673,1,0,0
683,1,0,0
684,1,0,0
685,2,0,0
696,1,0,0
698,2,0,0
700,1,0,0
703,1,0,0
705,1,0,0
708,2,0,0
709,1,0,0
711,1,0,0
712,1,0,0
714,1,0,0
717,1,0,0
728,1,0,0
732,1,0,0
733,1,0,0
736,1,0,0
743,1,0,0
752,1,0,0
755,1,0,0
763,3,0,0
764,1,0,0
767,1,0,0
778,1,0,0
783,1,0,0
785,2,0,0
791,1,0,0
808,1,0,0
812,1,0,0
818,1,0,0
820,1,0,0
829,1,0,0
830,1,0,0
833,2,0,0
836,1,0,0
838,1,0,0
840,1,0,0
846,3,0,0
850,3,0,0
861,1,10,0
863,1,5,0
866,1,7,0
868,1,7,0
881,1,15,0
882,1,2,1
883,1,11,0
884,1,2,0
889,1,5,0
892,1,6,0
894,2,9,1
897,1,7,0
899,1,9,0
903,1,13,0
910,1,20,0
914,1,21,0
917,2,39,0
928,1,26,0
932,1,30,0
933,2,59,0
935,1,31,0
937,1,33,0
938,1,32,0
940,2,65,0
944,1,34,0
945,1,31,0
952,2,58,0
954,1,27,0
956,2,38,1
957,1,24,0
964,1,30,0
965,2,54,0
969,1,29,0
975,1,31,0
976,1,28,0
986,1,37,0
988,1,38,0
990,1,39,0
996,1,10,1
1002,1,40,1
1005,1,54,0
1010,2,115,0
1014,1,54,0
1016,1,54,0
1018,2,105,0
1020,2,103,0
1022,1,50,0
1023,1,50,0
1025,1,39,0
1026,1,40,0
1029,1,42,0
1030,1,42,0
1035,1,46,0
1038,1,42,0
1042,1,44,0
1045,1,45,0
1047,1,35,0
1048,1,30,0
1052,2,64,0
1059,1,34,0
1060,1,33,0
1062,1,35,0
1065,1,35,0
1067,1,34,0
1069,1,34,0
1070,2,35,1
1076,1,38,0
1079,1,41,0
1084,1,46,0
1086,1,34,0
1087,1,32,0
1090,1,34,0
1092,1,28,0
1093,1,25,0
1095,1,23,0
1098,1,26,0
1099,2,43,0
1101,1,22,0
1103,1,19,0
1106,1,20,0
1108,1,16,0
1112,1,19,0
1116,1,22,0
1117,2,35,0
1121,1,18,0
1122,1,11,0
1127,1,11,0
1134,1,16,0
1135,1,16,0
1143,2,42,0
1146,1,1,1
1147,1,19,0
1148,1,19,0
1153,1,19,0
1159,1,25,0
1161,1,21,0
1164,1,15,0
1167,1,14,0
1172,1,17,0
1173,1,17,0
1176,2,31,0
1179,1,13,0
1180,1,14,0
1185,2,29,0
1190,1,18,0
1194,1,16,0
1204,1,22,0
1205,1,20,0
1209,1,22,0
1210,1,15,0
1212,1,4,0
1216,1,0,0
1218,1,0,0
1223,1,4,0
1226,2,13,0
1229,1,7,0
1237,1,13,0
1240,1,15,0
1248,1,3,1
1249,1,23,0
1253,2,46,0
1269,1,38,0
1272,1,39,0
1274,1,39,0
1276,1,34,0
1277,1,32,0
1278,1,30,0
1279,1,30,0
1281,1,22,0
1286,2,16,0
1289,1,9,0
1294,1,12,0
1298,1,16,0
1305,1,19,0
1317,2,56,0
1318,2,53,0
1319,1,21,0
1320,1,21,0
1323,1,21,0
1325,1,21,0
1329,1,25,0
1331,1,26,0
1332,1,23,0
1334,1,25,0
1335,1,25,0
1337,2,49,0
1339,1,25,0
1341,2,49,0
1342,1,22,0
1346,1,20,0
1347,1,20,0
1349,1,21,0
1352,1,17,0
1355,1,19,0
1367,1,29,0
1373,1,34,0
1374,1,34,0
1376,2,64,0
1379,1,32,0
1382,1,26,0
1387,1,24,1
1391,2,46,0
1392,1,23,0
