,time,wait,abandon
0,0,0,0
1,1,0,0
2,5,0,0
3,6,0,0
4,6,0,0
5,12,0,0
6,12,0,0
7,23,0,0
8,24,0,0
9,25,0,0
10,27,0,0
11,30,0,0
12,31,0,0
13,33,0,0
14,34,0,0
15,37,0,0
16,40,0,0
17,40,0,0
18,49,0,0
19,50,0,0
20,53,0,0
21,53,0,0
22,55,0,0
23,56,0,0
24,57,0,0
25,59,0,0
26,69,0,0
27,77,0,0
28,80,0,0
29,80,0,0
30,81,0,0
31,82,0,0
32,87,0,0
33,88,0,0
34,88,0,0
35,93,0,0
36,97,0,0
37,97,0,0
38,102,0,0
39,106,0,0
40,107,0,0
41,113,0,0
42,114,0,0
43,115,0,0
44,119,0,0
45,126,0,0
46,126,0,0
47,130,0,0
48,134,0,0
49,136,0,0
50,136,0,0
51,136,0,0
52,136,0,0
53,139,0,0
54,141,0,0
55,142,0,0
56,143,0,0
57,151,0,0
58,154,0,0
59,159,0,0
60,166,0,0
61,171,0,0
62,172,0,0
63,173,0,0
64,178,0,0
65,178,0,0
66,180,0,0
67,180,0,0
68,181,0,0
69,183,0,0
70,184,0,0
71,194,0,0
72,196,0,0
73,197,0,0
74,200,0,0
75,200,0,0
76,201,0,0
77,201,0,0
78,203,0,0
79,206,0,0
80,207,0,0
81,208,0,0
82,211,0,0
83,211,0,0
84,216,0,0
85,216,0,0
86,219,0,0
87,221,0,0
88,224,0,0
89,228,0,0
90,236,0,0
91,237,0,0
92,245,0,0
93,246,0,0
94,251,0,0
95,253,0,0
96,253,0,0
97,260,0,0
98,261,0,0
99,265,0,0
100,272,0,0
101,275,0,0
102,276,0,0
103,279,0,0
104,279,0,0
105,282,0,0
106,284,0,0
107,287,0,0
108,291,0,0
109,292,0,0
110,295,0,0
111,298,0,0
112,298,0,0
113,299,0,0
114,310,0,0
115,317,0,0
116,322,0,0
117,325,0,0
118,326,0,0
119,327,0,0
120,330,0,0
121,338,0,0
122,345,0,0
123,345,0,0
124,353,0,0
125,363,0,0
126,364,0,0
127,370,0,0
128,371,0,0
129,379,0,0
130,382,0,0
131,385,0,0
132,385,0,0
133,387,0,0
134,391,0,0
135,392,0,0
136,397,0,0
137,403,0,0
138,405,0,0
139,410,0,0
140,414,0,0
141,421,0,0
142,422,0,0
143,425,0,0
144,427,0,0
145,428,0,0
146,428,0,0
147,428,0,0
148,433,0,0
149,437,0,0
150,440,0,0
151,440,0,0
152,442,0,0
153,446,0,0
154,448,0,0
155,453,0,0
156,455,0,0
157,455,0,0
158,465,0,0
159,467,0,0
160,468,0,0
161,470,0,0
162,473,0,0
163,482,0,0
164,484,0,0
165,486,0,0
166,487,0,0
167,487,0,0
168,487,0,0
169,487,0,0
170,488,1,0
171,493,0,0
172,494,0,0
173,499,3,0
174,505,6,0
175,506,7,0
176,508,8,0
177,513,11,0
178,516,8,0
179,516,8,0
180,519,8,0
181,520,6,0
182,528,11,0
183,528,9,0
184,529,8,0
185,535,4,0
186,536,5,0
187,537,6,0
188,538,7,0
189,538,4,0
190,539,5,0
191,542,7,0
192,542,1,0
193,556,9,0
194,561,13,0
195,561,12,0
196,565,12,0
197,566,8,0
198,567,7,0
199,574,13,0
200,580,15,0
201,585,14,0
202,588,17,0
203,590,12,0
204,594,11,0
205,595,5,0
206,597,0,0
207,606,0,0
208,609,0,0
209,610,0,0
210,613,0,0
211,618,0,0
212,618,0,0
213,620,0,0
214,622,0,0
215,623,0,0
216,628,5,0
217,629,2,0
218,630,3,0
219,633,6,0
220,636,5,0
221,642,11,0
222,644,13,0
223,647,3,0
224,653,0,0
225,654,0,0
226,663,4,0
227,666,5,0
228,668,0,0
229,668,0,0
230,670,0,0
231,670,0,0
232,673,0,0
233,683,0,0
234,684,0,0
235,685,0,0
236,685,0,0
237,696,0,0
238,698,0,0
239,698,0,0
240,700,0,0
241,703,0,0
242,705,0,0
243,708,0,0
244,708,0,0
245,709,0,0
246,711,0,0
247,712,0,0
248,714,0,0
249,717,0,0
250,728,0,0
251,732,0,0
252,733,0,0
253,736,0,0
254,743,0,0
255,752,0,0
256,755,0,0
257,763,0,0
258,763,0,0
259,763,0,0
260,764,0,0
261,767,0,0
262,778,0,0
263,783,0,0
264,785,0,0
265,785,0,0
266,791,0,0
267,808,0,0
268,812,0,0
269,818,0,0
270,820,0,0
271,829,0,0
272,830,0,0
273,833,0,0
274,833,0,0
275,836,0,0
276,838,0,0
277,840,0,0
278,846,0,0
279,846,0,0
280,846,0,0
281,850,0,0
282,850,0,0
283,850,0,0
284,861,10,0
285,863,5,0
286,866,7,0
287,868,7,0
288,881,15,0
289,882,2,1
290,883,11,0
291,884,2,0
292,889,5,0
293,892,6,0
294,894,4,1
295,894,5,0
296,897,7,0
297,899,9,0
298,903,13,0
299,910,20,0
300,914,21,0
301,917,23,0
302,917,16,0
303,928,26,0
304,932,30,0
305,933,30,0
306,933,29,0
307,935,31,0
308,937,33,0
309,938,32,0
310,940,33,0
311,940,32,0
312,944,34,0
313,945,31,0
314,952,33,0
315,952,25,0
316,954,27,0
317,956,10,1
318,956,28,0
319,957,24,0
320,964,30,0
321,965,28,0
322,965,26,0
323,969,29,0
324,975,31,0
325,976,28,0
326,986,37,0
327,988,38,0
328,990,39,0
329,996,10,1
330,1002,40,1
331,1005,54,0
332,1010,58,0
333,1010,57,0
334,1014,54,0
335,1016,54,0
336,1018,54,0
337,1018,51,0
338,1020,52,0
339,1020,51,0
340,1022,50,0
341,1023,50,0
342,1025,39,0
343,1026,40,0
344,1029,42,0
345,1030,42,0
346,1035,46,0
347,1038,42,0
348,1042,44,0
349,1045,45,0
350,1047,35,0
351,1048,30,0
352,1052,33,0
353,1052,31,0
354,1059,34,0
355,1060,33,0
356,1062,35,0
357,1065,35,0
358,1067,34,0
359,1069,34,0
360,1070,2,1
361,1070,33,0
362,1076,38,0
363,1079,41,0
364,1084,46,0
365,1086,34,0
366,1087,32,0
367,1090,34,0
368,1092,28,0
369,1093,25,0
370,1095,23,0
371,1098,26,0
372,1099,22,0
373,1099,21,0
374,1101,22,0
375,1103,19,0
376,1106,20,0
377,1108,16,0
378,1112,19,0
379,1116,22,0
380,1117,21,0
381,1117,14,0
382,1121,18,0
383,1122,11,0
384,1127,11,0
385,1134,16,0
386,1135,16,0
387,1143,23,0
388,1143,19,0
389,1146,1,1
390,1147,19,0
391,1148,19,0
392,1153,19,0
393,1159,25,0
394,1161,21,0
395,1164,15,0
396,1167,14,0
397,1172,17,0
398,1173,17,0
399,1176,19,0
400,1176,12,0
401,1179,13,0
402,1180,14,0
403,1185,16,0
404,1185,13,0
405,1190,18,0
406,1194,16,0
407,1204,22,0
408,1205,20,0
409,1209,22,0
410,1210,15,0
411,1212,4,0
412,1216,0,0
413,1218,0,0
414,1223,4,0
415,1226,7,0
416,1226,6,0
417,1229,7,0
418,1237,13,0
419,1240,15,0
420,1248,3,1
421,1249,23,0
422,1253,23,0
423,1253,23,0
424,1269,38,0
425,1272,39,0
426,1274,39,0
427,1276,34,0
428,1277,32,0
429,1278,30,0
430,1279,30,0
431,1281,22,0
432,1286,10,0
433,1286,6,0
434,1289,9,0
435,1294,12,0
436,1298,16,0
437,1305,19,0
438,1317,29,0
439,1317,27,0
440,1318,27,0
441,1318,26,0
442,1319,21,0
443,1320,21,0
444,1323,21,0
445,1325,21,0
446,1329,25,0
447,1331,26,0
448,1332,23,0
449,1334,25,0
450,1335,25,0
451,1337,26,0
452,1337,23,0
453,1339,25,0
454,1341,27,0
455,1341,22,0
456,1342,22,0
457,1346,20,0
458,1347,20,0
459,1349,21,0
460,1352,17,0
461,1355,19,0
462,1367,29,0
463,1373,34,0
464,1374,34,0
465,1376,33,0
466,1376,31,0
467,1379,32,0
468,1382,26,0
469,1387,24,1
470,1391,23,0
471,1391,23,0
472,1392,23,0
473,1394,23,0
474,1395,21,0
475,1396,3,1
476,1396,22,0
477,1397,18,0
478,1397,17,0
479,1402,15,0
480,1404,14,0
481,1405,14,0
482,1409,16,0
483,1410,17,0
484,1412,12,0
485,1414,7,0
486,1420,13,0
487,1425,17,0
488,1425,13,0
489,1425,12,0
490,1427,13,0
491,1430,11,1
492,1431,16,0
493,1431,15,0
494,1432,11,0
495,1434,5,0
496,1435,3,0
497,1437,2,0
498,1437,2,0
499,1441,6,0
500,1451,11,1
501,1461,11,1
502,1467,28,0
503,1469,24,0
504,1475,26,0
505,1480,19,1
506,1482,29,0
507,1488,34,0
508,1491,37,0
509,1492,31,0
510,1495,25,0
511,1499,27,0
512,1500,22,0
513,1501,18,0
514,1504,17,0
515,1505,12,0
516,1506,0,0
517,1513,0,0
518,1517,0,0
519,1525,0,0
520,1534,0,0
521,1540,0,0
522,1541,0,0
523,1541,0,0
524,1544,0,0
525,1544,0,0
526,1548,0,0
527,1548,0,0
528,1549,0,0
529,1550,0,0
530,1557,0,0
531,1558,0,0
532,1564,0,0
533,1570,0,0
534,1578,0,0
535,1597,0,0
536,1601,0,0
537,1603,0,0
538,1609,0,0
539,1613,0,0
540,1615,0,0
541,1616,0,0
542,1617,0,0
543,1618,0,0
544,1618,0,0
545,1618,0,0
546,1631,0,0
547,1632,0,0
548,1637,0,0
549,1639,0,0
550,1648,0,0
551,1651,0,0
552,1665,0,0
553,1674,0,0
554,1677,0,0
555,1678,0,0
556,1679,0,0
557,1684,0,0
558,1684,0,0
559,1694,0,0
560,1710,0,0
561,1712,0,0
562,1716,0,0
563,1721,0,0
564,1722,0,0
565,1725,0,0
566,1725,0,0
567,1731,0,0
568,1738,0,0
569,1744,0,0
570,1747,0,0
571,1747,0,0
572,1749,0,0
573,1753,0,0
574,1753,0,0
575,1754,0,0
576,1760,0,0
577,1762,0,0
578,1767,0,0
579,1770,0,0
580,1771,0,0
581,1776,0,0
582,1782,0,0
583,1786,0,0
584,1790,0,0
585,1793,0,0
586,1794,0,0
587,1800,0,0
588,1805,0,0
589,1806,0,0
590,1807,0,0
591,1812,0,0
592,1812,0,0
593,1813,0,0
594,1816,0,0
595,1819,0,0
596,1824,0,0
597,1828,0,0
598,1838,0,0
599,1841,0,0
600,1841,0,0
601,1849,0,0
602,1850,0,0
603,1850,0,0
604,1853,0,0
605,1853,0,0
606,1859,0,0
607,1863,0,0
608,1867,0,0
609,1867,0,0
610,1868,0,0
611,1871,0,0
612,1872,0,0
613,1874,0,0
614,1875,0,0
615,1879,0,0
616,1879,0,0
617,1882,0,0
618,1891,0,0
619,1893,0,0
620,1895,0,0
621,1897,0,0
622,1909,0,0
623,1916,0,0
624,1917,0,0
625,1920,0,0
626,1926,0,0
627,1936,0,0
628,1942,0,0
629,1946,0,0
630,1950,0,0
631,1950,0,0
632,1950,0,0
633,1958,0,0
634,1958,0,0
635,1958,0,0
636,1961,0,0
637,1961,0,0
638,1964,0,0
639,1965,0,0
640,1965,0,0
641,1965,0,0
642,1966,0,0
643,1970,0,0
644,1975,0,0
