time,num_completed,total_wait,abandon
0,1,0,0
1,1,0,0
5,1,0,0
6,2,0,0
12,2,0,0
23,1,0,0
24,1,0,0
25,1,0,0
27,1,0,0
30,1,0,0
31,1,0,0
33,1,0,0
34,1,0,0
37,1,0,0
40,2,0,0
49,1,0,0
50,1,0,0
53,2,0,0
55,1,0,0
56,1,0,0
57,1,0,0
59,1,0,0
69,1,0,0
77,1,0,0
80,2,0,0
81,1,0,0
82,1,0,0
87,1,0,0
88,2,0,0
93,1,0,0
97,2,0,0
102,1,0,0
106,1,0,0
107,1,0,0
113,1,0,0
114,1,0,0
115,1,0,0
119,1,0,0
126,2,0,0
130,1,0,0
134,1,0,0
136,4,0,0
139,1,0,0
141,1,0,0
142,1,0,0
143,1,0,0
151,1,0,0
154,1,0,0
159,1,0,0
166,1,0,0
171,1,0,0
172,1,0,0
173,1,0,0
178,2,0,0
180,2,0,0
181,1,0,0
183,1,0,0
184,1,0,0
194,1,0,0
196,1,0,0
197,1,0,0
200,2,0,0
201,2,0,0
203,1,0,0
206,1,0,0
207,1,0,0
208,1,0,0
211,2,0,0
216,2,0,0
219,1,0,0
221,1,0,0
224,1,0,0
228,1,0,0
236,1,0,0
237,1,0,0
245,1,0,0
246,1,0,0
251,1,0,0
253,2,0,0
260,1,0,0
261,1,0,0
265,1,0,0
272,1,0,0
275,1,0,0
276,1,0,0
279,2,0,0
282,1,0,0
284,1,0,0
287,1,0,0
291,1,0,0
292,1,0,0
295,1,0,0
298,2,0,0
299,1,0,0
310,1,0,0
317,1,0,0
322,1,0,0
325,1,0,0
326,1,0,0
327,1,0,0
330,1,0,0
338,1,0,0
345,2,0,0
353,1,0,0
363,1,0,0
364,1,0,0
370,1,0,0
371,1,0,0
379,1,0,0
382,1,0,0
385,2,0,0
387,1,0,0
391,1,0,0
392,1,0,0
397,1,0,0
403,1,0,0
405,1,0,0
410,1,0,0
414,1,0,0
421,1,0,0
422,1,0,0
425,1,0,0
427,1,0,0
428,3,0,0
433,1,0,0
437,1,0,0
440,2,0,0
442,1,0,0
446,1,0,0
448,1,0,0
453,1,0,0
455,2,0,0
465,1,0,0
467,1,0,0
468,1,0,0
470,1,0,0
473,1,0,0
482,1,0,0
484,1,0,0
486,1,0,0
487,4,0,0
488,1,1,0
493,1,0,0
494,1,0,0
499,1,3,0
501,1,2,1
505,1,6,0
506,1,6,0
508,1,6,0
513,2,10,1
516,2,7,0
519,1,2,0
520,1,1,0
528,1,7,0
531,1,0,0
532,1,0,0
534,1,2,1
535,1,3,0
536,1,4,0
537,1,2,0
538,2,4,0
542,1,1,0
547,1,0,0
552,1,0,0
556,1,3,0
560,1,2,0
561,1,1,0
565,1,4,0
566,1,4,0
574,1,6,0
580,1,8,0
585,1,13,0
588,1,9,0
590,1,6,0
594,1,3,0
595,1,4,0
596,1,4,0
603,2,2,0
604,1,0,0
608,1,0,0
613,1,0,0
615,1,0,0
617,1,0,0
624,3,0,0
628,1,0,0
632,1,0,0
637,2,0,0
640,1,3,0
650,1,0,0
659,1,0,0
663,2,0,0
668,1,0,0
675,1,0,0
677,1,0,0
679,3,0,0
682,1,0,0
683,1,0,0
689,1,0,0
699,1,0,0
710,1,0,0
717,1,0,0
732,1,0,0
734,1,0,0
736,1,0,0
740,1,0,0
743,1,0,0
750,1,0,0
751,1,0,0
758,1,0,0
761,1,0,0
762,1,0,0
763,2,0,0
774,1,0,0
776,1,0,0
781,1,0,0
782,1,0,0
787,1,0,0
791,1,0,0
793,1,0,0
799,2,0,0
800,2,0,0
803,1,0,0
809,1,0,0
811,1,0,0
812,1,0,0
818,1,0,0
843,1,0,0
845,1,0,0
854,1,0,0
855,2,0,0
864,1,0,0
867,1,0,0
868,1,0,0
871,1,0,0
875,1,0,0
881,1,0,0
883,1,0,0
885,2,0,0
889,1,0,0
890,2,0,0
891,1,0,0
893,1,0,0
894,1,0,0
899,1,0,0
902,1,0,0
911,1,0,0
919,1,0,0
920,1,0,0
932,1,0,0
933,1,0,0
934,5,0,0
937,1,0,0
938,2,0,0
939,1,0,0
942,1,3,0
947,1,8,0
952,1,11,0
957,1,15,0
958,1,14,0
962,1,18,0
965,1,16,0
970,1,21,0
973,1,18,0
975,1,20,0
977,1,21,0
979,1,18,0
980,1,18,0
981,1,18,0
982,1,5,1
984,1,18,0
985,1,17,0
995,1,23,0
997,2,42,0
1000,1,19,0
1003,1,21,0
1007,1,25,0
1010,1,27,0
1013,1,29,0
1014,1,29,0
1019,1,27,0
1020,1,25,0
1023,2,43,0
1028,1,23,0
1030,3,67,0
1033,1,22,0
1034,1,20,0
1037,1,23,0
1042,2,55,0
1046,1,30,0
1047,1,3,1
1048,1,31,0
1050,2,57,0
1059,1,34,0
1060,1,12,1
1062,1,35,0
1064,1,27,0
1066,1,27,0
1073,1,17,1
1079,1,39,0
1080,1,34,0
1081,1,33,0
1084,1,33,0
1096,1,43,0
1098,1,43,0
1102,1,28,1
1104,2,97,0
1107,1,51,0
1108,1,38,0
1109,1,32,0
1112,2,64,0
1113,1,27,0
1114,1,24,0
1116,1,18,0
1117,1,19,0
1118,1,16,0
1119,1,11,0
1125,1,16,0
1129,1,15,0
1131,2,30,0
1132,2,24,0
1135,1,7,0
1136,1,6,0
1140,1,7,0
1147,1,14,0
1148,1,10,0
1153,3,23,0
1154,1,7,0
1156,1,5,0
1159,1,4,0
1167,1,6,0
1175,1,9,0
1181,2,16,1
1182,1,15,0
1183,1,5,1
1184,1,10,1
1186,1,15,0
1190,1,11,0
1192,1,11,0
1201,1,13,0
1204,1,7,0
1205,2,9,0
1208,1,0,0
1216,2,0,0
1219,1,0,0
1223,1,0,0
1231,1,0,0
1232,1,1,0
1245,1,1,0
1252,1,0,0
1254,1,0,0
1256,1,0,0
1257,2,0,0
1258,1,0,0
1266,1,0,0
1268,1,1,0
1272,1,3,0
1273,1,2,0
1274,1,3,0
1277,1,5,0
1279,1,5,0
1291,1,16,0
1298,1,20,0
1300,1,19,0
1306,1,15,0
1307,1,16,0
1309,1,16,0
1310,1,0,0
1317,1,0,0
1318,1,0,0
1320,2,0,0
1324,1,0,0
1326,1,0,0
1328,1,0,0
1329,1,0,0
1338,1,0,0
1339,1,0,0
1341,1,0,0
1342,1,0,0
1345,1,0,0
1346,1,0,0
1349,2,0,0
1354,1,0,0
1355,1,0,0
1356,1,0,0
1362,1,0,0
1364,1,0,0
1365,1,0,0
1372,2,0,0
1373,1,0,0
1376,1,0,0
1383,1,0,0
1384,1,0,0
1385,1,0,0
1386,1,0,0
1388,1,0,0
1390,1,0,0
1399,2,0,0
1405,1,0,0
1410,2,0,0
