No. of agents,Prob abandon,Prob abandon CI,Avg wait,Avg wait CI
60,0.055834180899940376,"(0.04672107771206976, 0.06494728408781099)",5.963350050853997,"(4.968019385913676, 6.958680715794317)"
61,0.05423294174723637,"(0.04550796795233991, 0.06295791554213283)",5.944935370967182,"(4.8994164241955165, 6.990454317738848)"
62,0.0461442311030867,"(0.038206322588613596, 0.0540821396175598)",5.144751918336169,"(4.236665103000039, 6.052838733672299)"
63,0.035495025051160825,"(0.02843838297160893, 0.04255166713071272)",3.9888857525933243,"(3.1698390049739382, 4.8079325002127105)"
64,0.030686799805163176,"(0.02422241721354721, 0.03715118239677914)",3.4401224688609,"(2.726814387002994, 4.153430550718806)"
65,0.02701088865472427,"(0.020639195468066165, 0.03338258184138238)",3.0886195995785037,"(2.3347792832336163, 3.842459915923391)"
66,0.029267956752289787,"(0.02237360507928994, 0.036162308425289634)",3.2571448247365886,"(2.456185409008004, 4.058104240465173)"
67,0.01547602106161947,"(0.011141291762313136, 0.019810750360925805)",1.6632987049950194,"(1.2060161510266587, 2.12058125896338)"
68,0.013613178935759581,"(0.01007294138375597, 0.017153416487763192)",1.5300523848910945,"(1.129642609896097, 1.930462159886092)"
69,0.01168272897455453,"(0.00788100138613257, 0.01548445656297649)",1.1734729251889342,"(0.8348485236753692, 1.512097326702499)"
