,time,Num arrivals,Queue length,Available agents
0,0,1,0,59
1,1,1,0,58
2,2,0,0,58
3,3,0,0,58
4,4,0,0,58
5,5,1,0,57
6,6,2,0,55
7,7,0,0,55
8,8,0,0,55
9,9,0,0,55
10,10,0,0,55
11,11,0,0,55
12,12,2,0,53
13,13,0,0,53
14,14,0,0,53
15,15,0,0,53
16,16,0,0,53
17,17,0,0,53
18,18,0,0,53
19,19,0,0,53
20,20,0,0,53
21,21,0,0,53
22,22,0,0,53
23,23,1,0,52
24,24,1,0,51
25,25,1,0,50
26,26,0,0,50
27,27,1,0,49
28,28,0,0,49
29,29,0,0,49
30,30,1,0,48
31,31,1,0,47
32,32,0,0,47
33,33,1,0,46
34,34,1,0,45
35,35,0,0,45
36,36,0,0,46
37,37,1,0,45
38,38,0,0,45
39,39,0,0,45
40,40,2,0,43
41,41,0,0,43
42,42,0,0,43
43,43,0,0,44
44,44,0,0,44
45,45,0,0,44
46,46,0,0,44
47,47,0,0,44
48,48,0,0,44
49,49,1,0,43
50,50,1,0,42
51,51,0,0,42
52,52,0,0,42
53,53,2,0,40
54,54,0,0,41
55,55,1,0,41
56,56,1,0,40
57,57,1,0,39
58,58,0,0,39
59,59,1,0,40
60,60,0,0,40
61,61,0,0,40
62,62,0,0,40
63,63,0,0,40
64,64,0,0,40
65,65,0,0,40
66,66,0,0,40
67,67,0,0,41
68,68,0,0,41
69,69,1,0,40
70,70,0,0,40
71,71,0,0,41
72,72,0,0,41
73,73,0,0,41
74,74,0,0,41
75,75,0,0,41
76,76,0,0,41
77,77,1,0,40
78,78,0,0,40
79,79,0,0,40
80,80,2,0,38
81,81,1,0,37
82,82,1,0,36
83,83,0,0,36
84,84,0,0,36
85,85,0,0,36
86,86,0,0,36
87,87,1,0,36
88,88,2,0,35
89,89,0,0,35
90,90,0,0,35
91,91,0,0,35
92,92,0,0,35
93,93,1,0,34
94,94,0,0,35
95,95,0,0,35
96,96,0,0,35
97,97,2,0,33
98,98,0,0,33
99,99,0,0,33
100,100,0,0,33
101,101,0,0,33
102,102,1,0,33
103,103,0,0,33
104,104,0,0,33
105,105,0,0,33
106,106,1,0,32
107,107,1,0,31
108,108,0,0,31
109,109,0,0,31
110,110,0,0,31
111,111,0,0,31
112,112,0,0,32
113,113,1,0,31
114,114,1,0,30
115,115,1,0,29
116,116,0,0,30
117,117,0,0,30
118,118,0,0,30
119,119,1,0,29
120,120,0,0,29
121,121,0,0,29
122,122,0,0,29
123,123,0,0,29
124,124,0,0,29
125,125,0,0,30
126,126,2,0,28
127,127,0,0,28
128,128,0,0,29
129,129,0,0,29
130,130,1,0,28
131,131,0,0,28
132,132,0,0,28
133,133,0,0,29
134,134,1,0,28
135,135,0,0,28
136,136,4,0,24
137,137,0,0,24
138,138,0,0,25
139,139,1,0,24
140,140,0,0,24
141,141,1,0,23
142,142,1,0,22
143,143,1,0,21
144,144,0,0,21
145,145,0,0,21
146,146,0,0,21
147,147,0,0,21
148,148,0,0,21
149,149,0,0,21
150,150,0,0,21
151,151,1,0,21
152,152,0,0,21
153,153,0,0,21
154,154,1,0,21
155,155,0,0,22
156,156,0,0,22
157,157,0,0,22
158,158,0,0,23
159,159,1,0,22
160,160,0,0,22
161,161,0,0,23
162,162,0,0,23
163,163,0,0,24
164,164,0,0,24
165,165,0,0,25
166,166,1,0,24
167,167,0,0,24
168,168,0,0,24
169,169,0,0,24
170,170,0,0,24
171,171,1,0,24
172,172,1,0,23
173,173,1,0,22
174,174,0,0,23
175,175,0,0,23
176,176,0,0,23
177,177,0,0,23
178,178,2,0,21
179,179,0,0,21
180,180,2,0,19
181,181,1,0,18
182,182,0,0,18
183,183,1,0,17
184,184,1,0,16
185,185,0,0,17
186,186,0,0,17
187,187,0,0,17
188,188,0,0,19
189,189,0,0,19
190,190,0,0,19
191,191,0,0,20
192,192,0,0,21
193,193,0,0,21
194,194,1,0,20
195,195,0,0,20
196,196,1,0,19
197,197,1,0,18
198,198,0,0,18
199,199,0,0,18
200,200,2,0,16
201,201,2,0,14
202,202,0,0,14
203,203,1,0,14
204,204,0,0,15
205,205,0,0,15
206,206,1,0,14
207,207,1,0,13
208,208,1,0,12
209,209,0,0,12
210,210,0,0,12
211,211,2,0,10
212,212,0,0,10
213,213,0,0,10
214,214,0,0,10
215,215,0,0,10
216,216,2,0,8
217,217,0,0,8
218,218,0,0,8
219,219,1,0,8
220,220,0,0,8
221,221,1,0,7
222,222,0,0,7
223,223,0,0,8
224,224,1,0,7
225,225,0,0,7
226,226,0,0,7
227,227,0,0,7
228,228,1,0,8
229,229,0,0,8
230,230,0,0,8
231,231,0,0,8
232,232,0,0,8
233,233,0,0,8
234,234,0,0,10
235,235,0,0,10
236,236,1,0,10
237,237,1,0,9
238,238,0,0,9
239,239,0,0,9
240,240,0,0,9
241,241,0,0,9
242,242,0,0,9
243,243,0,0,9
244,244,0,0,9
245,245,1,0,8
246,246,1,0,7
247,247,0,0,7
248,248,0,0,8
249,249,0,0,9
250,250,0,0,10
251,251,1,0,11
252,252,0,0,11
253,253,2,0,10
254,254,0,0,10
255,255,0,0,12
256,256,0,0,12
257,257,0,0,12
258,258,0,0,14
259,259,0,0,14
260,260,1,0,13
